Literal_1,Literal_2,Literal_3
-5065,-11433,-4484
-4995,-9767,-190
14305,-2940,8937
503,-7360,3906
-1750,15953,4171
8686,-16257,11257
-4239,-6512,-11204
1814,5865,-6772
7356,279,-5723
-491,-10170,-4944
13657,8962,12878
-33,4929,10233
-5067,-3317,12122
-16135,3970,-7136
14278,6695,-16119
-8701,-3713,-11052
-5606,-1378,12669
-10763,-14667,15405
2294,-7889,3057
9856,-14467,8939
16314,-12091,-8482
15665,-4344,-7906
7151,3084,10544
-4902,5561,-10856
10550,3568,10844
12126,8583,-7666
3760,14187,-9318
-11014,14848,-6501
9653,-15766,1433
-14421,-11581,7772
-5755,-14004,12371
11971,9751,-5407
-6449,15201,-6025
-1791,10279,13537
16091,-11122,-2567
-2590,1754,-9943
5316,9444,-13718
9410,2001,-7383
14402,-10411,14727
-9394,-592,-8725
9196,-6172,11406
-9037,-4483,-16297
-4404,-1772,-13443
-14624,-3676,-6320
951,-238,2404
13439,-8959,-1481
13818,16337,3135
-14278,-5280,-6944
16154,3111,-1132
11679,-14512,7898
-11620,-13758,-12276
15408,-3137,-3326
5339,10273,-7307
15615,9023,4717
-6064,-4880,-16231
-1721,4283,-12436
15546,-1125,-6387
16174,-16166,-8172
-5693,-3173,11982
3803,2598,-16033
9904,8979,7546
-2773,15562,5934
-11636,-4920,-5197
-13908,3478,-14073
16161,-4608,-252
-13223,-14693,-4355
-8089,8353,16066
1507,7434,-2626
1535,1447,-9010
-13909,-8949,-14202
-1628,-137,3207
-15749,-10717,-5117
8435,350,14676
10125,553,-15324
10040,11685,4271
7880,-6574,6570
-15985,4402,8608
-101,13422,10128
-12606,10332,9126
8934,-11530,11171
-13155,14054,11037
9624,-15547,15166
-16080,-6805,-14937
-10630,8140,15763
34,-14512,-8572
-1122,1242,-13302
13832,-5389,-9233
9945,-3593,-1767
-6852,7778,7853
-11713,-5773,11154
13971,6956,8360
10638,-5180,-12701
15568,15783,-10808
1281,8962,-1712
746,-15288,3441
12062,3419,-14113
-2877,-13393,10562
-13716,3548,-3808
11549,10056,14017
-4095,-9464,1485
-1668,15858,14075
10644,2273,-10985
13670,-15679,16051
-11883,3576,10105
-9974,12680,-10415
2615,-3901,-3414
4164,-5881,10495
12730,-11737,-5285
-6610,-7935,10930
7119,7035,-14026
11959,-10917,-16361
-10710,-15170,10619
12127,-2994,10008
8409,6626,-6145
1093,-14048,-15899
11966,-3886,15205
10667,5400,-15480
-8241,-1815,3044
-3184,-6683,-12693
9133,-2830,11610
-12280,2111,8006
-15378,-5123,8941
5289,9779,9555
-4232,1140,11065
-14519,-5159,8872
-16035,5850,2323
4668,9657,13166
12064,-14194,2118
338,-12333,10004
-12256,12352,11705
13902,-12739,-14740
13453,15329,15579
8829,-7797,-4057
-15443,15678,-1087
-2370,2709,-10514
-8250,7611,-3983
7579,13132,5690
-1656,296,-16327
895,6052,-12921
10474,2900,12775
6,14554,7307
1440,3584,-13910
9089,2384,-3506
4190,-4979,9582
2949,-3819,14179
5368,-2961,-10160
-14621,-5459,-10860
-12786,-5844,7615
9625,-2425,-13460
-7485,10085,-15476
-4949,15461,9272
5854,925,15354
-8780,3394,306
-14471,-5009,-8470
-9102,-14955,-7902
12834,3768,-5931
-4790,-2178,8318
14861,9425,-11509
-13774,-14556,-12980
7649,-14824,-8546
1228,-15306,3286
-1381,-14908,10485
-183,7325,-13261
-9270,-6818,-11530
1935,6849,2478
-10122,6379,-5181
4815,16362,-7392
1051,-10894,12824
-3929,-2280,-15861
4159,-5837,-6649
-12356,-3528,-12636
-1838,-11196,3232
14384,14922,-7093
7994,10337,11259
-2117,-8054,9483
-8977,1823,6071
-9035,9365,16189
-5019,-4038,-6177
7122,-10928,1126
-15210,-8088,10683
-13277,-15953,1435
-10324,8382,11292
9192,767,8680
2176,12019,-9639
-6116,-9154,8015
-15707,10528,14900
-16230,-7212,-102
8537,16096,-4648
3668,-9525,3420
13808,960,-4368
13634,-2961,-9705
-6422,-13605,-7048
-16373,-13438,12731
15827,989,-1577
-15445,5764,6785
-16211,3171,-15198
-6740,13866,4877
1074,-14592,-10420
6121,11793,-10453
2770,-14560,2800
-12982,-8027,-6267
-595,-11639,-6382
10518,-2004,8847
11848,10833,8214
-9710,-6368,2650
-8447,9912,-7041
-3267,-2292,-15170
3574,12714,6644
-9815,13679,-9588
5566,-6920,2970
-9421,-4733,-15570
-8391,1978,-1745
7032,-5528,-15568
11395,-14626,-11104
-12603,-8544,8359
13229,8640,6636
-16093,7271,3719
-2430,-630,-13103
15842,-6973,-14854
-14523,8015,12514
-12094,8269,10374
-9843,2517,-11859
-8653,2740,-2832
13312,-14621,-10740
9889,-13738,-6234
1441,-14435,4671
-2838,14858,15547
1363,-6606,-1733
8360,-8362,15383
-4685,-2327,15262
1079,-2859,-11339
-13892,167,-754
76,13712,-14672
11815,2329,-11408
-431,11314,12103
-11899,-14412,6904
1299,-15741,-122
5542,-6717,-10288
3423,6546,15318
-15075,8497,8143
11944,1098,16140
9066,8270,15823
555,-6467,-8740
11471,2983,-14920
6172,-12123,1173
-13180,-465,1822
7504,1085,-3450
11170,481,-16154
-7065,-16084,10358
4718,-6996,4459
-12379,15581,12280
-6405,-13661,14353
2743,-6222,-11745
15317,10449,3007
-10472,5479,167
13219,-2877,-4180
3874,14979,5802
-1000,-10934,-10554
15555,13735,1095
-3092,8060,-10957
-4803,-6436,-8387
-16349,12999,-15287
-13695,-14958,-688
-11321,2278,-2291
3699,3916,-4860
2652,558,-3886
2982,15957,-15230
1577,-3673,1860
-14580,15021,1167
-8693,-11567,-13764
-13794,1519,-515
5251,2856,9849
7408,-2770,10176
-8410,-8420,1991
-6550,-2097,8652
-3702,-14983,-14447
-7389,-4443,-12097
-11962,-10773,2908
-810,8703,-799
-1588,13394,4236
12150,10012,-7813
7043,-12249,-2610
-13308,-3764,-15180
8801,-2997,9948
6195,-10565,2225
3296,-13202,13640
-4394,-480,8033
14402,-378,9107
-12250,13246,3638
-8924,-2377,7993
-10691,-13485,-15953
-9877,6912,-12016
-4448,18,-6647
4938,4281,12594
-14245,14288,-380
-13022,1008,-8452
-1014,7019,9119
-206,12824,-5210
12265,3701,-10300
11291,14323,13788
-15789,-12228,2490
12894,-12596,-112
-11892,14528,-11582
12670,537,10576
-2027,-10273,14473
12218,-15199,6850
-3109,-14304,10958
1607,2326,7157
16134,1533,1489
14158,-14378,8327
-2724,-11645,-1265
-11012,9070,3907
-329,6284,-7535
-11751,8175,16249
5646,-12097,2881
-9422,350,7524
1664,-8471,-1603
-6690,7211,-30
-769,-7231,11219
-4716,-9322,9370
-9343,-16295,-16263
-6749,-11247,7150
-16061,715,-487
15270,975,15059
-936,-12591,-2105
-2921,-5136,14858
-15882,-15066,5438
9801,11951,-1137
11886,1714,13011
-14412,9955,3907
-10245,1207,-8542
7901,-7482,-13779
8131,11274,-11694
-2744,4849,14627
-6522,-2024,-6418
8129,336,-3406
-9036,4687,3763
-12308,178,-685
-11048,-8943,-5450
1144,12007,-10737
4365,15117,-968
12824,4752,7703
-11875,-1634,-13097
-6899,-3326,5915
16018,10944,6430
11978,-2922,-6332
793,-967,11376
1826,-16158,-5024
-2865,4076,9496
-6185,4533,-5392
5158,-6521,-6183
-4881,-11158,-8989
913,14780,-15128
11141,2228,-13329
16057,10291,-5495
-16150,5207,7194
-124,5224,-4794
13587,16265,3109
9551,7051,-14851
-14895,-13657,7494
-8776,-14431,-10632
-10569,-15822,12140
8341,-570,14748
-12387,8599,14267
5003,-7762,1049
-8502,9358,9339
364,7040,15686
12968,10021,-129
-6461,-11091,-15578
-15002,8052,9380
14832,11416,-9471
3877,6385,-8054
10558,-1354,11331
-9023,13320,5173
15483,-6390,7933
1484,5791,-9385
-15582,6873,-6090
15245,-10873,-950
590,-8237,-3744
3041,-1363,7560
3626,5891,15249
-2721,12911,-10147
-2276,-14688,-15216
15751,-1367,4776
1310,-11080,10958
-8149,-10462,14140
7471,13093,-5662
-1032,-3083,-265
3827,189,-3673
4123,674,12641
2338,14237,16119
4573,-1462,-2637
3225,-3297,89
3856,2786,-12980
-13662,14941,-4376
5202,10203,-5500
5267,3206,-14358
5127,2118,9357
-2065,7249,8277
-15702,13067,9913
7122,-2930,-1630
15722,12484,-8127
15761,-12621,-5304
4893,81,12847
-6622,-3996,-2430
-10307,-13197,15488
-2768,11064,6413
-12421,10141,14033
-4790,-2712,9946
-5319,1630,-15447
7063,-3651,13915
-903,9390,12172
-5052,-1204,-4750
14510,8386,14236
16224,6809,-7913
5621,-8848,-10190
-5838,-4062,1001
14136,-13538,1167
15025,11393,1960
7247,-2222,3811
6059,9317,1789
-3351,-12902,7884
12625,15236,-4510
10111,-8873,-8191
-15669,-10410,-8969
-14419,2890,-6597
14909,4290,11132
13326,10597,451
-9576,2434,-6604
10673,-11987,-8364
15179,-8676,-15127
-16152,-8273,7923
-9200,14006,2828
1852,13825,-6150
1153,-12460,-7276
-12223,497,-13288
-6292,4721,-13128
2762,5636,14708
-5346,14911,-5608
-3974,5103,-1725
-15068,-15020,-5283
13742,3206,-8458
-7902,-9710,-14681
11750,12442,-5960
-3272,-5767,-10450
7562,9985,-15036
15208,-5331,-12308
-690,3408,12847
5766,-11560,-272
-9242,3373,7649
16018,-9725,-6502
-5058,-123,-4632
12687,8146,15910
-2391,-1295,-15348
10428,-3664,6423
-11839,12828,13781
-8127,10757,-11948
-505,-421,-9388
2372,-5213,-14504
6789,-15329,-5327
5244,12695,8934
-13869,1402,-3285
3264,-9628,-4052
-2244,14390,16104
2147,15903,9059
11106,-15441,13355
13708,11116,-651
13164,5617,-12410
-5565,9691,-2389
1213,1617,-9009
-8214,-7414,12098
-8700,-5434,6666
6884,14028,-316
-2198,2398,15544
-3957,-6730,624
15635,-6916,4944
7667,-666,1972
6259,3902,8744
15371,-3062,11778
-7856,-14443,14717
10826,-10585,-11355
-2795,14641,-13608
-4580,-12977,14941
-14749,1232,3231
-9636,-10254,-7166
4371,2014,-6865
-13934,3073,16007
-2107,11003,8777
-3032,-8723,-12362
-10861,9531,-12099
-11222,-98,11043
-9224,-7420,430
13349,-13753,14058
-16003,-8853,10135
-2001,13420,8400
-5587,-1401,-15011
4181,9867,5227
6401,11635,-14456
-5986,1187,-15273
-12936,11420,8142
-16338,10706,-7748
9393,2701,-8534
5385,-2792,10893
-14363,-11297,5691
-6841,3337,5744
5039,11435,6469
6216,-2607,-3169
2707,-1055,6062
54,-16093,-13886
-15793,3247,1219
7973,11493,-6303
-1395,-8515,16124
9652,-316,-575
-8170,10874,14843
-665,4365,12985
10484,-453,6236
-6966,13695,-4924
-11157,-10276,10337
-2825,-10659,1920
7203,6340,12187
12143,3690,-8525
-927,4036,12731
-13628,-14404,-827
14660,1605,14104
14565,-13139,10423
-8352,-9585,2595
12647,-12709,4195
-8787,-14985,-9672
5765,-5561,6587
-6929,7508,-5571
7595,13010,1840
-15318,6602,12948
4613,9961,-1999
-14525,11170,5825
-7667,46,-14671
980,-778,-549
-658,2874,-78
5924,1476,-2352
8602,-9146,-7233
3953,11823,-14944
-15966,1285,-8646
-16298,-5693,390
-11094,11313,9788
15387,7569,16251
9714,-4993,11000
-11892,-16057,-4222
-8420,-1490,-7489
-9953,-6292,14535
-8279,-2804,6432
-2778,-7359,2399
11435,12551,-2169
-4049,9718,-390
5086,880,5655
-3388,-10085,-13431
-11643,-13711,-3478
-4327,14237,13142
14692,-8485,-12461
5438,-1561,-10433
