Literal_1,Literal_2,Literal_3
5379,12346,11635
7935,719,15113
11914,-13619,77
13583,10811,6675
6871,6137,14556
1210,-6123,9854
-15485,8535,-12253
-3340,-5180,6836
14190,-523,-15624
-3719,13781,3844
-96,3599,6821
3962,-10937,-6480
15228,8306,-3372
1640,-7334,-609
-11133,-5563,7607
13728,-14722,15041
-10218,-10102,-9067
-10616,222,-139
3505,-15428,1632
-10562,8569,13397
-16319,10171,2071
-6130,-10090,-4209
-15601,2385,14833
-4267,-14963,-14952
-6930,-7308,-13213
13764,-6726,-11697
-14024,7226,-3577
-9049,-902,-4412
-3342,-1012,13041
11584,-11524,14902
-8426,5967,15629
4998,131,-3852
-11346,7264,-4803
-6374,817,13593
-10216,1560,-96
-3319,-12103,5017
-8830,10357,13982
13465,6623,14101
-1050,5812,11632
1368,1243,-7049
3379,6470,931
-14609,-3791,-1581
9424,2646,14055
-11623,2406,-5433
12111,3232,12361
498,13750,7260
14021,-6638,4141
8469,-13065,-3864
-9601,4155,15169
-5477,6414,-640
11826,-9030,10101
10642,13541,-459
-3419,-15251,6669
9463,-7096,-8252
-5234,6529,-8667
5025,7901,4967
8859,-1535,14677
-9807,7831,-13545
1336,-3935,10619
3617,4625,-3611
-14695,1371,-16006
-2368,-5981,13605
10430,-3451,-107
-1951,9311,1146
-7260,1153,-10994
-2209,-7234,7484
-2086,-7927,-4470
4280,-4423,63
-4978,-11459,-14747
-9923,-10071,-14240
4199,2418,-6664
-12769,7049,-10801
2552,4610,-8173
12610,8,9855
10438,-863,-4293
10941,15252,13967
5754,12278,4556
-9558,-8353,-2007
3100,858,-9494
-14918,5233,15765
1442,-2980,2696
4198,-4811,-3860
5592,11797,12153
-13667,12954,-2490
3054,-14286,5512
5602,-14625,-8503
-13636,-7951,10363
-14879,-5647,12138
-4684,7563,-16228
4420,857,-11768
233,14568,8793
171,-71,13625
-11301,-8769,-14988
-10151,-9458,-7434
-6809,16106,-9961
-1222,6347,-5406
-2109,3993,-5221
15843,-13739,1294
-12863,12980,-4528
-10367,-3316,8687
-7901,-12257,-5873
2805,-15211,-10724
-730,-8873,10752
585,266,3004
16363,10896,10968
-2638,-2484,-8741
-5165,8586,9239
-7483,-10256,-645
14996,-643,7012
2943,-9556,-492
-6521,-2630,6330
-8964,5107,-12625
-3111,-363,-12435
-362,-7199,7180
-14519,9024,8761
-7043,-10414,-11752
11687,4021,7963
-5797,10440,13333
-10608,-1701,-13624
3697,14730,-12217
-7570,-340,-4777
-4818,-14495,-259
9429,11919,-1331
-3541,3053,14123
-5739,-4101,-5722
7790,-11689,7116
-12642,-3285,-5112
-9812,13977,6813
-10794,-3879,9659
-4168,-4319,11601
2139,-4459,-8999
-1396,-6279,-3738
-4750,14692,-1723
-10653,7524,-6575
8482,5423,10048
9927,792,11553
-8879,-5419,1414
11106,-1320,5885
12737,-3275,-14273
5037,282,-7550
13178,-13991,-11993
12953,-15060,-5771
2332,3101,-6985
366,-13234,12123
1865,-13562,10581
-9771,5690,-12686
8669,9502,-1414
1405,-8344,-2882
95,10893,6877
-13981,11232,-2769
-14846,-16086,9884
-15229,-465,1175
-12797,11696,7613
-838,9314,-1826
-14170,-16294,15237
15617,-14718,-11803
-10152,12360,-8578
-7357,15248,5388
-6802,-4795,12485
10969,-6227,-8849
-8360,-3562,-3670
-13258,15125,-11401
-7853,13615,-15302
-13928,14182,-13889
-2329,5334,5246
5209,-12616,14567
-15063,-14541,4441
3442,-2075,-10647
-6902,9719,-965
15541,-15243,-15902
-9879,-7536,1536
-13041,-3083,-3561
-12576,-12574,3780
10358,13688,14505
10126,3289,-6603
-5941,-2067,11607
5261,-6592,-11193
-7024,-1006,-11694
2581,-5361,-14319
-58,11242,-9107
13943,1922,11655
-10252,5667,-13491
3200,-12455,5905
14949,-12332,631
-6565,-13601,11507
-4474,1213,-14752
-9591,4454,-9038
-12523,13755,-8377
-2235,1839,-6699
13893,4184,14151
-12331,-6847,2464
-15166,8272,10434
-16097,-16321,12168
9127,-4185,-8177
9897,12930,14368
-7961,5603,2211
-8435,-10933,-15981
8079,-3939,-1954
9996,-7707,-5318
7382,4545,3799
-10716,-9364,2432
-13546,11380,-8120
-3570,6364,12439
14039,3042,9422
-5130,206,12548
-6067,11813,-503
14580,-6049,-4664
3302,13639,11122
-11549,-6958,-6144
15098,16010,11602
-4475,11822,-4388
13845,11929,-535
11656,-9329,7292
3658,-7330,4485
4174,12816,6273
-14839,-2673,10916
-4887,9794,-6536
-14950,-4802,-12474
8186,16268,-1375
13520,3743,13066
-841,2391,-655
-13099,-9131,4379
12876,-1514,5031
1879,-4594,9259
10964,3011,-2091
-14022,3544,742
7189,16094,11876
1780,15170,-1935
10678,-15742,5479
-8070,-13127,9035
6103,9540,3182
370,5666,-6382
-15141,-6659,11642
4442,-13755,-9720
-4956,-10584,544
-13712,15433,14326
-10534,-10791,7591
-9829,13324,-4839
-13694,-4129,-1768
3602,-4337,-14938
11221,12093,4370
-15259,-14586,1787
-16056,-1187,6909
-5641,531,-3025
-7848,8008,-11708
8125,-10019,1520
4928,-11527,11649
-1637,-15600,13887
-12921,7627,-1026
1730,-9351,-6899
-15968,-14481,-15017
-13863,-4493,-15417
-15331,-3338,630
6107,4366,4061
12520,-3422,15231
-8940,-1927,-1665
11462,13546,-13114
-14445,11406,-2020
14103,4354,-4811
-11465,-2845,-4653
-4994,336,11684
11822,7186,10064
-11372,-13344,-6692
15062,9147,-14202
-6435,12906,-10935
3839,-9883,7292
-6224,9032,-14953
13547,3103,229
-1199,5458,-8167
-2253,10321,-14298
-1341,12080,-13847
-7907,3222,9769
-7240,6407,-5546
-8756,-7186,-13890
5313,15843,3138
11037,-6885,-4158
-13896,3539,8451
-6823,15066,-5180
-8569,15241,1946
-10161,-3630,16086
15762,12765,12628
15627,12558,-10399
8398,11893,-9047
-4408,-6251,543
-4366,-10559,-14801
15509,1438,10715
979,9857,2965
8350,-7692,13318
-12051,-9754,-6054
-13236,3961,9539
8939,10288,-16223
-11639,9041,-5948
-4743,2504,14396
15675,3449,-2672
-9232,6708,-2826
-4741,-11837,15279
3016,-15791,3054
12836,7369,-8183
-4105,11663,15039
2136,-11933,-10343
-5397,5160,-2544
-10867,7481,5186
11138,-10955,-3096
-5506,-3303,-8906
16305,12794,15505
9142,14446,10817
4304,-879,-621
4026,-8198,12948
-6733,14375,8065
-8869,5795,9957
-4511,-2232,-10830
-12928,-14049,16206
-4982,-5675,-5097
12995,-5527,5316
14310,-15011,-1663
-3010,15586,13583
10776,897,-14513
-15585,-15276,-3135
5762,-2463,9557
-9178,-10574,8288
-3272,-259,-13726
2313,12963,-5729
-11304,140,1671
-2018,-14745,15706
-15035,582,5903
8525,5044,-12325
-13805,14750,-3683
-10694,13474,-15570
8325,2884,16086
9038,3520,2027
-7469,16004,14987
-2419,8521,11066
6785,-7718,-9136
-8716,-2329,1362
-3980,6369,-14431
-1835,3756,8100
7294,9181,-15223
14195,-2414,7859
12824,-2552,12699
5133,728,-12999
-7956,3449,13640
-4869,-7274,15715
6035,3176,-12313
923,-6974,-14567
4379,5737,5297
-12735,-14115,5675
-14499,-8571,-8185
-5532,8800,-10200
8851,-6233,-14698
11512,10613,-15800
3943,782,-14979
5903,107,-14881
2129,-14689,6554
-15804,16036,-5400
-3528,997,-545
-9627,11755,-8547
2994,13841,3358
15521,-13278,-3737
-13350,-10201,-307
-10925,-5568,-14719
-8752,-12984,-12341
-771,-14312,3319
15355,-12109,-15958
-12766,-15006,-5847
-16255,-1509,739
-5752,-3282,-7136
8,1344,3001
7329,-3519,14811
-13946,-11991,13185
-7435,-13250,-7034
649,-4426,12528
3178,9655,-14657
5305,12764,15802
8304,-8282,-11447
1469,-93,7923
-1048,-11613,-16323
-1582,11154,16033
7339,8817,13511
4243,7397,3159
740,-1631,14955
-701,2574,-11168
11037,-13590,-4797
-6260,-16382,15611
688,9982,-10214
-1778,14058,3999
-5570,6286,-8075
13201,14480,2133
4612,9228,8561
10892,11131,10582
-3513,6416,13828
5617,12792,6579
-4005,1224,-11329
7425,-13455,-5575
-2983,13362,4498
4320,13031,-11690
7205,7917,-6678
-6002,15263,3976
2893,-1051,-160
-10259,-14116,13296
-6472,12230,-10450
-425,12355,424
-7679,-7139,-3150
-16155,8182,8940
3472,10876,-14798
6435,-11239,4103
-7269,8970,-7915
2813,-12218,-2515
-2992,11526,-10939
-581,7095,-6414
11751,-7847,-15985
-11636,6787,6619
4030,11430,-4196
9242,-10286,4227
3824,-3156,2290
-44,1009,3645
-8411,9139,-1517
5933,-14472,15010
2347,-2529,-8792
10754,-7725,-10141
-4768,-10390,15293
12194,-3563,-3553
5890,11901,-4852
-1446,2149,-16073
-9712,-2482,-12753
9216,14862,-14063
-15981,9114,10368
-11266,-13176,6577
7131,15613,-16209
9734,7332,11886
8416,11746,-10924
11670,3458,-11198
-15514,11258,7330
-10662,-8354,-7503
16013,9747,-4684
10627,-12805,13846
-2503,13371,-2989
13646,-979,-11591
-12199,-6703,-6759
13028,-10623,4176
-2423,712,-5283
10283,10321,-11097
15932,-15017,-5521
-15343,-5396,8917
3444,12409,10034
6960,-9489,5714
3676,-1747,8987
-3011,-9358,-2941
-13983,14575,-5690
-12213,-7573,-1201
-14196,13819,-16305
-6656,-15935,11041
2119,-14316,10517
1501,989,16050
-3798,4114,6656
-14431,4216,-7731
-5799,10226,12405
2649,7711,-7674
-7259,-6372,705
13773,-15975,-12970
-10972,-9828,-9248
6499,-11701,-2178
-15595,5779,4782
8144,-2714,13208
-2671,-3132,-2612
15439,-6577,-5521
-9098,5372,-7598
4205,-15583,-1577
-13840,-14435,-14476
-3425,10062,7129
-2078,-7871,13290
660,-1470,13621
8206,-12798,14709
11812,-3370,482
-8178,-16276,11772
11337,-7399,8896
5513,-14066,12707
11686,14763,-11237
-1902,-1771,2915
5248,7034,-15635
14566,1867,-13377
10935,8549,16245
-1984,-937,118
1939,-15908,-16322
-4117,-1520,-5805
3691,-12093,13982
4917,-7284,12815
13176,-11326,8491
6713,15689,-132
-3093,-9335,10095
-15792,-15492,-4612
7074,-7580,-14772
8532,13268,846
-4497,-14911,13076
11104,-11397,-8519
-14657,-9066,2123
-10778,10450,12236
-6111,-5300,-16078
-15205,9640,494
-13644,15451,-15545
4427,6165,-175
-2425,15391,-7392
12356,-5420,-11807
-12578,3997,-122
1659,13613,40
2117,-3577,13324
12592,2244,351
13602,-15654,-2234
-15388,9561,-10981
3420,-639,-5694
13696,6963,-14557
1662,-12311,-10537
13203,7175,13256
4009,-11679,10668
15336,-11918,-14667
3881,-316,8065
11544,2468,-11818
-6985,8600,12597
13490,-11358,-6214
-6898,1868,6474
10529,-4062,-5812
10584,-14024,11231
-5332,16127,7109
-9143,507,-13564
-9485,-7128,-8719
8134,13237,9282
6707,9459,8124
5882,11234,12216
-14417,-7860,4557
6870,-2896,14603
2374,-2252,-12619
-1276,-7355,-16367
15951,-10023,-222
-4710,-3983,1452
3230,-3862,13148
15185,-5470,10106
-15290,9589,13385
-1405,-739,-7995
4991,992,7086
757,-4742,-2359
-15403,13826,-10977
-15576,-1916,14490
6971,-1687,13766
5143,11875,5329
-9959,-10766,-11922
-488,-2976,6030
-12213,10091,12938
308,15912,7035
6058,-4642,11882
-4545,-7428,13333
10610,-12233,9915
-8810,16168,14270
14714,-14529,-12697
9535,-11724,-7150
-8116,-5449,-9266
9456,-3792,-5276
12768,2109,-11573
-5760,-13072,-5507
-11843,5463,7682
-540,-8608,-12281
-5374,8931,72
6823,-2192,4217
-8415,7888,9893
-5876,2201,14303
7858,11941,4789
14605,11882,8510
-11620,-719,1449
2868,14754,10744
6771,-4544,-580
-13656,-11003,-12700
7903,2314,-13660
-15099,10414,13497
-6293,-4363,-11127
-2115,9764,-10463
-16240,1081,-2401
-7420,-13109,-8945
13673,-14197,10953
5479,-3296,-6289
4268,15149,-9379
-1658,-2865,-8942
-2712,-5803,-8612
-13687,-7499,-2918
15366,9438,-5329
16140,13957,-13708
-1172,-285,-2149
-8762,-6642,11303
15369,7614,-11404
10126,15931,15405
-9357,2573,13463
-6420,-1284,-5898
8358,-3837,-4113
6797,1173,-7620
55,-11231,-12537
-14597,9827,15838
-5904,-3824,8470
2779,-14301,4319
-8848,-12921,10033
-1556,5808,7261
-10426,-4930,11606
-6369,3443,-8809
-7313,12676,-11747
3530,-12125,2778
5700,-6942,9314
-6191,-15432,-8193
-14370,-13326,-5976
-13236,-3428,-5509
-12406,8313,1812
-11717,4085,12628
-16092,-4029,-4
-5983,-6821,-14214
6050,15320,-1844
734,-3989,-5887
-14732,-11646,-442
15900,582,15565
9655,3420,3221
-14355,2495,7013
-971,15711,-13001
-4841,6527,16361
12000,600,-11579
10999,-16349,-13269
8553,6436,6455
5281,-1773,-6458
-15909,1325,-7239
14408,-903,-6497
2561,-16098,3756
7836,-6035,5066
-8366,-14661,7197
8750,1263,2727
13893,-4388,16090
12670,5884,15325
-3025,16189,-14679
-16089,-13370,13090
-7657,12147,15735
6003,5980,14928
2193,-15923,-9887
-11438,9750,649
8406,5024,6968
2430,11009,-15119
-14297,7277,851
1002,-6156,12171
-3761,-2949,-1110
-7793,-4706,-3005
-14798,-13769,-15996
7008,-280,10251
-15785,5750,-1023
4492,-3826,-10608
-4569,6062,8154
9875,6010,9436
11944,-6005,4725
14391,1853,-10429
490,7196,12214
15959,15013,3135
-11928,-1010,2727
-11799,7541,-13239
6673,8491,9444
-5102,-757,-15917
-8535,-14178,2741
-2869,-5398,-1805
-2225,3131,4100
-3289,11569,-12247
3484,14916,11984
13491,-10557,3063
9185,1391,-16001
-582,9526,-5680
2610,12547,11067
16057,-3940,-6574
7107,9197,-15894
-3546,5635,-8602
7085,14748,3405
-13361,6790,15555
-14460,-3871,14401
7365,10228,11077
13025,-11432,11080
-1035,-7565,-9396
-12221,14805,-11543
-15909,8256,5657
-338,-8039,453
-8839,-10346,-3069
-9490,5007,5340
-2253,-16148,-4732
3852,-10042,-1545
-13568,452,-11899
8041,-9279,-5678
16301,2848,-14888
-4412,-10240,-13553
15582,3069,5388
-10967,15994,-1084
2980,12771,-2011
-11293,-7769,-342
12451,15274,7888
12520,13148,6852
-3964,10245,7806
15761,1672,-15800
8208,-15127,-14019
14184,12458,8182
7026,-7513,2271
-499,-14361,9039
-117,1422,9295
-4248,344,10385
16061,7982,1430
-7157,-7376,2029
10293,4393,-4624
-9170,3876,-933
15012,-14165,5519
11500,13152,-1932
-7342,1379,-999
15158,15124,14810
16235,-14987,-12223
8191,-7588,3623
3283,9001,15302
-7470,-9859,-5779
8240,5772,-7557
6783,2252,-11801
-8963,11548,2606
4233,-15569,-2156
-6874,2952,-14308
13582,-1081,-10358
15339,-7418,42
8157,5243,8678
-7653,-14863,13330
-2726,9760,10713
-8183,7306,-15210
6015,-13381,1269
-6267,-49,-2129
16064,12171,12069
-4064,15780,11688
-10850,-10934,15617
-14858,-2303,-14371
10522,-9789,11869
12659,-6825,-4777
1846,13453,15972
13538,-894,-343
9409,-6884,15128
-906,-7083,-6744
5819,-11221,1724
-11298,-7776,15948
14269,-13606,-8149
-13373,-12700,6789
-8818,-16075,-2582
1124,15960,-9196
2185,11289,5785
3559,13246,4839
-14198,-779,15819
-11081,-9426,-15976
-15876,7316,-8161
5431,7593,2814
63,2686,-8193
1619,3728,4905
-9464,898,-4235
-3522,4278,2166
-774,4129,-5620
7212,-13626,-15473
-5924,-8636,4188
-1099,-9191,14915
-12788,-509,10603
-9524,15703,6399
-5511,441,-829
11565,-2182,5042
14322,-12726,657
3233,-2837,-4777
8494,12958,-16257
5500,7947,12193
-1387,6559,-3546
2110,5710,11421
